"","SORTER","Submitted_Name","Submitted_Author","Submitted_Genus","Submitted_Rank","Name_in_database","Author_in_database","Genus_in_database","Rank_in_database","ID_in_database","Name_set","Fuzzy","Score","name.dist","author.dist","New_name","New_author","New_ID","Family","Name_spLev","Accepted_SPNAME","NOTE"
"319",444,"Cornus sanguinea","","Cornus",2,"Cornus sanguinea"," L.","Cornus",2,266507,1,FALSE,0.8,0,NA,NA,NA,NA,"Cornaceae",NA,"Cornus sanguinea",NA
"320",445,"Cornus sericea","","Cornus",2,"Cornus sericea"," L.","Cornus",2,266516,1,FALSE,0.8,0,NA,NA,NA,NA,"Cornaceae",NA,"Cornus sericea",NA
"211",446,"Carpenteria californica","","Carpenteria",2,"Carpenteria californica","Torr.","Carpenteria",2,266729,1,FALSE,0.8,0,NA,NA,NA,NA,"Hydrangeaceae",NA,"Carpenteria californica",NA
"950",447,"Philadelphus lewisii","","Philadelphus",2,"Philadelphus lewisii","Pursh","Philadelphus",2,266685,1,FALSE,0.8,0,NA,NA,NA,NA,"Hydrangeaceae",NA,"Philadelphus lewisii",NA
"949",448,"Philadelphus coronarius","","Philadelphus",2,"Philadelphus coronarius","L.","Philadelphus",2,266664,1,FALSE,0.8,0,NA,NA,NA,NA,"Hydrangeaceae",NA,"Philadelphus coronarius",NA
"792",449,"Mentzelia lindleyi","","Mentzelia",2,"Mentzelia lindleyi","Torr. &  A.Gray","Mentzelia",2,267185,1,FALSE,0.8,0,NA,NA,NA,NA,"Loasaceae",NA,"Mentzelia lindleyi",NA
"937",450,"Petalonyx thurberi","","Petalonyx",2,"Petalonyx thurberi"," A.Gray","Petalonyx",2,267256,1,FALSE,0.8,0,NA,NA,NA,NA,"Loasaceae",NA,"Petalonyx thurberi",NA
"1209",451,"Staphylea bolanderi","","Staphylea",2,"Staphylea bolanderi","A.Gray","Staphylea",2,224078,1,FALSE,0.8,0,NA,NA,NA,NA,"Staphyleaceae",NA,"Staphylea bolanderi",NA
"407",452,"Ecballium elaterium","","Ecballium",2,"Ecballium elaterium"," (L.) A.Rich.","Ecballium",2,204056,1,FALSE,0.8,0,NA,NA,NA,NA,"Cucurbitaceae",NA,"Ecballium elaterium",NA
"155",453,"Bryonia dioica","","Bryonia",2,"Bryonia dioica","Jacq.","Bryonia",2,204065,1,FALSE,0.8,0,NA,NA,NA,NA,"Cucurbitaceae",NA,"Bryonia dioica",NA
"780",454,"Marah fabacea","","Marah",2,"Marah fabacea","(Naudin) Greene","Marah",2,204405,1,FALSE,0.8,0,NA,NA,NA,NA,"Cucurbitaceae",NA,"Marah fabacea",NA
"239",455,"Centranthus calcitrapae","","Centranthus",2,"Centranthus calcitrapae","(L.) Dufr. (Sm.) Meikle","Centranthus",2,406800,1,FALSE,0.8,0,NA,NA,NA,NA,"Caprifoliaceae",NA,"Centranthus calcitrapae",NA
"240",456,"Centranthus ruber","","Centranthus",2,"Centranthus ruber"," (L.) DC.","Centranthus",2,406811,1,FALSE,0.8,0,NA,NA,NA,NA,"Caprifoliaceae",NA,"Centranthus ruber",NA
"510",457,"Fedia cornucopiae","","Fedia",2,"Fedia cornucopiae","(L.) Gaertn.","Fedia",2,406786,1,FALSE,0.8,0,NA,NA,NA,NA,"Caprifoliaceae",NA,"Fedia cornucopiae",NA
"711",458,"Lonicera hispidula","","Lonicera",2,"Lonicera hispidula","(Lindl.) Douglas ex Lindl.","Lonicera",2,406011,1,FALSE,0.8,0,NA,NA,NA,NA,"Caprifoliaceae",NA,"Lonicera hispidula",NA
"712",459,"Lonicera interrupta","","Lonicera",2,"Lonicera interrupta","Benth.","Lonicera",2,406024,1,FALSE,0.8,0,NA,NA,NA,NA,"Caprifoliaceae",NA,"Lonicera interrupta",NA
"713",460,"Lonicera involucrata","","Lonicera",2,"Lonicera involucrata","(Richards.) Banks ex Spreng.","Lonicera",2,406025,1,FALSE,0.8,0,NA,NA,NA,NA,"Caprifoliaceae",NA,"Lonicera involucrata",NA
