Mayor group,Order,Family,Tribus,Species,Flower color composition,Main flower color,Flavonoids,Anthocyanins,Aurones,Carotenoids,Chlorophylls, N_pigments
Eudicotyledoneae,Caryophyllales,Caryophyllaceae,,Silene_niceensis,White/Brown,White,1,1  ,0,0,1,3
Eudicotyledoneae,Caryophyllales,Caryophyllaceae,,Silene_pendula,Pink,Pink,1,1  ,0,0,0,2
Eudicotyledoneae,Caryophyllales,Caryophyllaceae,,Silene_ramosissima,Pink,Pink,1,1  ,0,0,0,2
Eudicotyledoneae,Caryophyllales,Caryophyllaceae,,Silene_scabriflora,Pink,Pink,1,1  ,0,0,0,2
Eudicotyledoneae,Caryophyllales,Caryophyllaceae,,Silene_secundiflora,Pink,Pink,1,1  ,0,0,0,2
Eudicotyledoneae,Caryophyllales,Caryophyllaceae,,Silene_vulgaris,White,White,1,0  ,0,0,0,1
Eudicotyledoneae,Caryophyllales,Caryophyllaceae,,Spergularia_rubra,Pink,Pink,1,1  ,0,0,0,2
Eudicotyledoneae,Caryophyllales,Drosophyllaceae,,Drosophyllum_lusitanicum,Yellow,Yellow,1,0  ,1,1,0,3
Eudicotyledoneae,Caryophyllales,Frankeniaceae,,Frankenia_laevis,Pink,Pink,1,1  ,0,0,0,2
Eudicotyledoneae,Caryophyllales,Plumbaginaceae,,Armeria_pungens,Pink,Pink,1,1  ,0,0,0,2
Eudicotyledoneae,Caryophyllales,Plumbaginaceae,,Limoniastrum_monopetalum,Pink,Pink,1,1  ,0,0,0,2
Eudicotyledoneae,Caryophyllales,Plumbaginaceae,,Limonium_algarvense,Pink,Pink,1,1  ,0,0,0,2
Eudicotyledoneae,Caryophyllales,Plumbaginaceae,,Limonium_bonducellii,Yellow,Yellow,1,0  ,1,0,0,2
Eudicotyledoneae,Caryophyllales,Plumbaginaceae,,Limonium_sinuatum,Pink,Pink,1,1  ,0,0,0,2
Eudicotyledoneae,Cucurbitales,Cucurbitaceae,,Ecballium_elaterium,Yellow/Green,Yellow,1,0  ,0,1,1,3
Eudicotyledoneae,Cucurbitales,Cucurbitaceae,,Bryonia_dioica,White/Green,White,1,0  ,0,0,1,2
Eudicotyledoneae,Dipsacales,Caprifoliaceae,,Lonicera_japonica,Yellow,Yellow,1,0  ,0,1,0,2
Eudicotyledoneae,Dipsacales,Caprifoliaceae,,Sixalix_atropurpurea,Pink,Pink,1,1  ,0,0,0,2
Eudicotyledoneae,Dipsacales,Caprifoliaceae,,Fedia_cornucopiae,Pink,Pink,1,1  ,0,0,0,2
Eudicotyledoneae,Dipsacales,Adoxaceae,,Viburnum_tinus,White,White,1,0  ,0,0,0,1
Eudicotyledoneae,Ericales,Ericaceae,,Arbutus_unedo,Whitish,White,1,0  ,1,0,1,2
Eudicotyledoneae,Ericales,Ericaceae,,Erica_arborea,White,White,1,0  ,0,0,0,1
Eudicotyledoneae,Ericales,Ericaceae,,Erica_australis,Pink,Pink,1,1  ,0,0,0,2
Eudicotyledoneae,Ericales,Ericaceae,,Erica_scoparia,Whitish,White,1,0  ,1,0,0,2
Eudicotyledoneae,Ericales,Ericaceae,,Erica_umbellata,Pink,Pink,1,1  ,0,0,0,2
Eudicotyledoneae,Ericales,Ericaceae,,Erica_andevalensis,Pink,Pink,1,1  ,0,0,0,2
Eudicotyledoneae,Ericales,Primulaceae,,Coris_monspeliensis,Pink,Pink,1,1  ,0,0,0,2
Eudicotyledoneae,Ericales,Primulaceae,,Lysimachia_arvensis,Blue,Blue,1,1  ,0,0,0,2
Eudicotyledoneae,Ericales,Primulaceae,,Lysimachia_monelli,Blue,Blue,1,1  ,0,0,0,2
Eudicotyledoneae,Fabales,Fabaceae,Galegeae,Astragalus_pelecinus,Pink,Pink,1,1  ,0,0,0,2
Eudicotyledoneae,Fabales,Fabaceae,Galegeae,Colutea_atlantica,Yellow,Yellow,1,0  ,0,1,0,2
Eudicotyledoneae,Fabales,Fabaceae,Genisteae,Cytisus_balansae,Yellow,Yellow,1,0  ,0,1,0,2
Eudicotyledoneae,Fabales,Fabaceae,Genisteae,Cytisus_grandiflorus,Yellow,Yellow,1,0  ,0,1,0,2
Eudicotyledoneae,Fabales,Fabaceae,Genisteae,Cytisus_multiflorus,White,White,1,0  ,0,0,0,1
Eudicotyledoneae,Fabales,Fabaceae,Genisteae,Genista_canariensis,Yellow,Yellow,1,0  ,0,1,0,2
Eudicotyledoneae,Fabales,Fabaceae,Genisteae,Genista_cinerea,Yellow,Yellow,1,0  ,0,1,0,2
Eudicotyledoneae,Fabales,Fabaceae,Genisteae,Genista_hirsuta,Yellow,Yellow,1,0  ,0,1,0,2
Eudicotyledoneae,Fabales,Fabaceae,Genisteae,Genista_linifolia,Yellow,Yellow,1,0  ,0,1,0,2
Eudicotyledoneae,Fabales,Fabaceae,Genisteae,Genista_triacanthos,Yellow,Yellow,1,0  ,0,1,0,2
Eudicotyledoneae,Fabales,Fabaceae,Genisteae,Genista_tridentata,Yellow,Yellow,1,0  ,0,1,0,2
Eudicotyledoneae,Fabales,Fabaceae,Genisteae,Lupinus_luteus,Yellow,Yellow,1,0  ,0,1,0,2
Eudicotyledoneae,Fabales,Fabaceae,Genisteae,Retama_sphaerocarpa,Yellow,Yellow,1,0  ,0,1,0,2
Eudicotyledoneae,Fabales,Fabaceae,Genisteae,Retama_monosperma,White,White,1,0  ,0,0,0,1
Eudicotyledoneae,Fabales,Fabaceae,Genisteae,Spartium_junceum,Yellow,Yellow,1,0  ,0,1,0,2
Eudicotyledoneae,Fabales,Fabaceae,Genisteae,Ulex_borgiae,Yellow,Yellow,1,0  ,0,1,0,2
Eudicotyledoneae,Fabales,Fabaceae,Genisteae,Ulex_europaeus,Yellow,Yellow,1,0  ,0,1,0,2
Eudicotyledoneae,Fabales,Fabaceae,Genisteae,Ulex_genistoides,Yellow,Yellow,1,0  ,0,1,0,2
Eudicotyledoneae,Fabales,Fabaceae,Genisteae,Ulex_parviflorus,Yellow,Yellow,1,0  ,0,1,0,2
